"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","317/8803","454/28891",1.12136168060333e-67,7.25857415854538e-64,2.7007110791794e-64,"233805/56371/83560/22209/19052/108000/17193/75826/76464/67052/21423/68094/231803/30949/18014/12443/71276/12580/12453/67857/52004/15904/20586/12034/68964/12567/108989/29861/75430/208643/27375/108911/12579/18018/66197/102423/74370/107976/66214/12450/56456/320595/208583/104418/13860/216965/67629/234736/72584/229543/59046/13684/28036/53869/12452/69754/22687/56150/12315/319651/11504/67121/11920/21752/76454/68953/18027/227292/68077/227331/68142/79263/66977/12530/68193/69681/17869/107047/77011/15937/13557/114714/235661/116748/52696/76843/68034/12189/21803/13205/270201/11479/24100/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/19192/18392/239985/69917/93760/109019/218294/12237/18763/246735/13194/68431/270669/72508/20588/12449/12576/19211/59008/77891/218630/18514/71375/67941/12905/381293/18008/50927/208768/12192/22410/76499/12581/26427/19055/269582/12568/70799/12055/12314/28010/12445/21987/17246/231600/26931/19054/12428/68251/100088/53317/218793/17535/12444/16319/21335/327799/67655/19357/67974/66209/12144/59126/17120/11789/69581/20466/81702/52563/234069/50875/77044/13383/54124/330177/15574/52468/17257/225131/68067/53892/11792/11820/12914/13555/228361/23834/105513/20620/214444/72772/13685/56453/52679/83383/50523/15902/16412/72993/18795/105837/56190/229776/19891/18555/108058/20587/76707/12054/20460/52206/72290/225182/70681/66671/22137/12575/12013/12193/14841/56469/12313/238271/382985/22591/75608/27354/16906/20104/72611/229841/26380/330216/13871/269424/209334/19650/20135/66442/74268/22059/12021/723951/12577/12427/319195/67628/12795/68592/17222/12572/13872/17283/83797/11799/72400/19186/107771/12043/83796/66993/75770/78832/67155/67991/235559/30963/14199/216190/15468/12447/19360/70385/56317/224023/67153/20133/18715/18028/12571/11461/18767/228714/116733/235041/12236/13559/26992/20479/19708/319944/14056/50850/12545/74996/19684/27401/26951/194655/70127/18647/18761/66991/13649/214498/16798/106795/17863/240665/12578/226026/237877/18817",317
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","309/8803","440/28891",6.35755408274186e-67,2.0576223788794e-63,7.65583354805967e-64,"20103/18148/224092/56417/234384/72344/53975/213895/19942/68147/227656/50783/66942/68731/102462/27374/66596/22121/382137/225215/227522/226982/217869/208144/27966/223499/75786/54127/66448/74097/27207/67332/20115/21357/215194/68083/192159/213541/65961/110954/99480/17975/448850/12261/66475/70285/13211/83486/26905/27998/14109/215193/320632/20901/75593/14105/67040/20055/20088/105372/15519/72584/276919/13669/140546/20085/103573/192196/98956/66405/67222/107071/118451/72554/56844/76130/15278/64930/231769/207704/20227/11837/75062/67204/11920/68966/117109/72193/74778/101739/68077/78394/68193/108013/267019/20222/225348/30946/13205/20643/20042/217995/19655/74200/229937/20935/218629/234344/68011/100609/27981/23992/56321/66164/217038/68533/14000/66249/245474/27275/77591/69731/67459/353258/20091/19211/231386/59014/76846/67493/67973/67941/28000/231452/67223/53890/237107/208768/66978/224619/101592/27993/239528/67936/195434/208366/57808/214616/75751/66603/214150/68040/52705/110809/68184/18572/72181/52535/53817/104662/106338/67014/66878/18813/20937/66489/66362/227715/72284/67959/24015/20044/216987/229317/20630/67115/67134/59028/56195/52513/68879/52202/18432/74112/78688/433864/320790/236511/66446/57316/16785/75422/56505/328110/78796/70078/28109/75273/68845/67148/78581/108707/72515/12812/330361/68052/19069/67920/268449/269254/70683/27756/68979/98985/107686/69126/193116/14300/19384/237730/55944/66870/224823/83485/67025/20104/227674/57741/76183/81898/68988/216119/13871/272009/56351/19896/109075/66254/69241/100019/28126/106298/66538/67619/73674/110816/17089/66877/110109/66161/100043813/67239/16418/68219/224481/194268/52530/102614/52521/66282/217431/69821/319586/67949/230737/78651/66583/66409/55989/19988/56095/69163/271842/20641/100503670/69499/67684/269061/67996/97112/66580/100608/432508/69237/20054/20068/226432/192119/20638/67205/67276/216766/228889/235036/72462/214498/57837/207932/50912/12181/72544/12578/56200/16865/20815/213773/28035/20116/22258",309
"GO:0006338","GO:0006338","chromatin remodeling","327/8803","489/28891",1.18666571382875e-62,2.5604290552045e-59,9.52663562540413e-60,"18148/268281/17769/73884/14312/78783/27221/51810/17192/18509/21423/217127/15078/68094/13548/229542/70673/224440/66929/54343/170644/12417/243842/234366/15191/66511/21420/223499/321000/19820/218850/20591/193796/18626/106143/30841/214899/22632/13435/101631/21969/76804/18193/71954/19646/52808/20586/108989/69837/29861/15289/99982/16969/66336/20918/11909/17216/19720/93762/17263/16468/101685/15185/21652/231151/56637/56456/320595/52615/140858/51812/15193/229700/75339/208727/104248/208266/238247/18676/68729/18627/14897/21761/14683/15353/208146/107817/97122/105203/101739/13163/15161/68142/16870/71514/63830/17869/80748/14815/109275/16905/11546/66403/12189/50721/105246/216850/54169/14013/107435/12649/225888/15441/30951/76073/12053/239985/22289/53893/233904/22385/93760/245688/22378/17765/233532/319151/21375/13194/20588/76719/12611/13433/70802/231386/18706/64050/16598/18508/50709/53890/50927/71389/53605/23837/225280/67772/329559/12055/69260/235626/50708/75565/68251/79221/214384/244059/54446/21849/622675/20937/56632/331623/319162/21665/328572/20466/20926/234069/14775/109095/77044/15081/17257/66310/21402/218214/225131/17955/80838/13626/319149/53892/81601/110749/18432/212712/74112/55982/102920/320790/50518/20613/18479/260423/20682/15183/56505/29877/213742/18140/69726/319148/116848/68845/23942/381686/108671/66578/194388/93696/20587/16596/12054/22589/20924/69612/226976/114741/17692/77853/217827/73473/22658/11785/225876/56249/56086/22083/64707/69587/218973/16906/23808/244694/57741/67768/66233/81898/72612/404634/319955/12615/67246/75410/22059/13831/14957/12577/22110/109331/214162/17913/67628/12005/17283/228536/67933/15364/319154/83797/170823/104103/606496/15182/231506/19821/107771/235441/74026/20230/241764/83796/66993/320713/226830/67155/433759/15077/51869/77683/224826/228829/26914/381022/233875/67733/68675/11461/75605/244349/14958/67210/30941/70790/26992/227195/68703/71148/67382/235682/19708/14056/239122/212391/192119/71175/22715/107932/70127/12648/93759/78878/15260/72480/50912/207165/80859/209200/56200/22130/75329/56353/237339/18600/14479/20833",327
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","306/8803","449/28891",1.51972340655351e-61,2.45929240265522e-58,9.15033461630116e-59,"18148/233805/56371/83560/19052/108000/17349/17193/75826/76464/67052/21423/28114/68094/231803/30949/433938/18014/12443/12580/231724/268465/52040/52004/20586/12034/68964/12567/108989/29861/75430/208643/27375/108911/12579/11909/14155/102423/74370/107976/211651/66214/12450/56456/12696/208583/104418/19361/216965/67629/234736/72584/229543/208266/28036/53869/69754/56150/50784/11504/67177/11920/21752/76454/227292/68077/227331/68142/225160/79263/66977/12530/68193/69681/107047/77011/15937/67490/114714/235661/116748/52696/76843/68034/14451/12189/21803/13205/19367/270201/24100/225372/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/19192/66131/18392/239985/69917/93760/109019/218294/12237/18763/100683/246735/13194/270669/20588/54624/226591/12576/19211/59008/18514/71375/67941/12905/28000/27103/381293/208768/12192/22410/12581/26427/269582/70799/12055/28010/17246/107503/231600/56289/12952/26931/19054/68251/53317/218793/17535/12444/53817/16319/327799/19357/66209/12144/219158/59126/234854/21385/17120/11789/20466/81702/52563/19355/234069/50875/77044/13383/20674/330177/15574/52468/17257/225131/68067/26416/235323/11792/11820/12914/13555/228361/23834/55982/214444/72772/56453/52679/18004/83383/15902/72993/18795/105837/56190/229776/20913/19891/332110/108058/20587/12054/21380/20460/52206/72290/225182/70681/66671/22137/12575/11785/12193/14841/238271/382985/27223/22591/27354/16906/20104/72611/229841/330216/319955/13871/269424/209334/19650/20135/66442/74268/22059/12021/107829/723951/12577/193838/319195/67278/67628/12795/68592/12572/13872/17283/83797/11799/72400/241627/71449/19186/12043/83796/66993/67155/226419/67991/235559/30963/14199/20473/216190/15468/71878/19360/327762/70385/12753/56317/224023/67153/26914/20133/12571/106052/11461/18767/116733/235041/12236/11787/26992/20479/19708/14056/12545/74996/19684/26951/17685/70127/18761/66991/13649/214498/268930/19247/12578/209200/65964/237877/18817",306
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","306/8803","451/28891",7.28911080527289e-61,9.43648284850628e-58,3.51104958367671e-58,"56371/22209/19359/18521/70294/20438/67163/11797/212114/217069/70348/223499/93687/22284/100041286/12398/20834/66498/68795/14629/54609/57296/224727/13198/70247/224938/22210/66244/28199/74841/240263/50873/224109/11865/14828/26419/20747/72053/20439/11993/26442/223870/67819/14155/14673/75234/231672/56637/24105/140630/213311/104771/12317/68818/76375/216150/67245/227619/103573/268882/30839/74251/69754/229644/216869/233902/170930/54197/14897/12328/76454/12234/50762/71472/68077/74244/79263/71492/57320/77006/211770/67490/53312/54644/68970/59029/19822/76843/68034/78913/50721/27419/22215/107995/27373/23806/230815/68612/18024/56812/116891/234684/66089/72179/66597/19173/213990/17754/15204/19165/66967/68292/74646/269523/22393/13194/71745/329795/58799/68431/107568/50789/68477/18858/59003/20588/12449/140499/69259/110616/214931/76788/59008/103583/77891/66349/227693/101358/67118/381293/68135/22410/56424/17846/106025/65256/56468/105193/216440/74165/70611/17246/231600/26931/231863/77987/69554/76302/18786/224111/22214/327799/50758/26420/94090/71538/219158/236904/68053/228769/11789/21372/74126/230904/52563/230903/21927/76577/67903/56486/13853/53323/21402/225131/93765/67128/22230/14794/67812/56438/14154/81601/217410/228361/237353/242960/20620/30838/12387/12330/71991/228775/13666/70382/268721/19358/63958/108159/50754/19185/16396/52206/56085/319701/64209/94232/80890/23996/22213/75788/12488/59025/56469/83814/80751/217379/67025/387524/238896/14084/74125/14198/59009/109815/70620/225896/211255/14238/11836/192193/74374/97064/193670/207521/239510/30840/56291/12795/12005/17222/386649/72844/109689/106042/14694/170823/22644/72194/606496/67089/17463/108660/75717/68867/30843/50849/170737/433693/24086/56736/20437/80750/56407/19179/75452/15511/224826/12753/73296/224023/66861/21762/106052/19182/233877/207304/232539/104318/30945/27401/226757/66413/81004/93759/269514/71816/76608/19164/66799/226144/211949/23807/19053/56353/18817/22222",306
"GO:0034248","GO:0034248","regulation of amide metabolic process","316/8803","482/28891",1.42743738497e-57,1.5399670321518e-54,5.72978374879187e-55,"18148/236900/22057/52856/234384/234594/16201/68581/51810/66118/17347/276770/212114/19205/22121/378430/226982/217869/107508/192170/71373/23879/22352/72201/18626/56040/217351/75901/15979/13665/70769/21357/70640/234734/213541/12567/11803/229096/23988/110954/108989/67031/17975/67579/208643/12261/194952/20918/17855/13631/13211/19704/11305/73826/56717/74370/27998/66892/13144/228866/75593/13688/12696/108954/232164/12317/56716/233033/241846/13684/13838/98956/16549/229663/231279/64930/217331/230738/18627/22171/12877/64436/15983/68966/232791/52575/78893/68015/227331/52874/17350/22695/104001/73830/18604/319801/56422/21453/13205/72416/13164/73158/27373/52846/101543/58994/19317/18024/67267/15469/11991/224907/225363/66971/14433/22393/27058/69125/100342/100037258/243574/223453/72508/56541/225929/68036/218506/214290/18458/230784/67493/214580/67941/27103/12192/18753/69956/20168/16341/53872/230908/20677/212508/239528/16011/21841/140488/12785/105193/239606/67207/15572/103135/214150/11428/74203/56334/72181/13629/72068/53817/13690/106338/18813/56632/74480/74108/217980/75420/22608/68585/66612/66362/19653/328572/227715/20683/11789/207952/12457/228019/24015/229317/140570/213988/227682/14786/71701/17149/230594/11820/15114/20218/74112/74326/16589/13685/236511/66446/19735/15568/17690/207214/13666/11652/75422/66084/24127/231207/140486/27050/381305/78796/16007/233833/17165/15473/19045/319817/17973/13418/64602/100715/19401/233489/26987/18212/228026/80913/80890/212167/244551/15467/70207/20660/12193/228994/67070/231464/55944/66870/80912/83485/20181/68134/19877/19652/66704/211064/71787/20698/104625/72162/22059/237400/17872/78428/211006/56403/11816/78697/18755/210529/18983/14694/606496/16418/270086/20226/260302/17974/224045/12367/20823/210106/214424/18746/68943/66912/26413/65967/27979/67869/12227/208922/70354/208691/100503670/232560/14265/319765/11441/332397/30959/224742/30948/14151/69635/94254/19878/101122/216766/78943/14359/20430/67630/72587/105782/233744/69674/65964/19697/13803/13209/218693/108037",316
"GO:0006397","GO:0006397","mRNA processing","322/8803","496/28891",3.57258643353268e-57,3.30362171203672e-54,1.2291846255523e-54,"18148/56417/53975/51810/50783/74737/228410/13548/51796/67736/67039/101471/22668/70312/27374/217207/20624/68035/19205/21379/268420/70616/192170/23879/70233/15387/76479/11758/67332/67367/192159/11803/234723/227707/53609/17975/67337/12261/16969/13207/72935/225027/107701/13211/234373/83486/76938/75137/18747/75956/320632/20901/14105/12696/67040/27886/22185/269623/230753/59013/229700/15381/276919/276905/20382/192196/28036/66642/72289/16549/224902/22687/56844/54194/229279/19826/83703/231769/22184/20227/76167/75062/12877/209003/66354/107817/66660/72193/65105/101739/170791/71514/74157/225160/69562/78372/53610/108013/56215/233208/54196/54723/66381/51786/15547/20222/116748/74044/20643/56070/66185/216578/15388/19655/98758/70248/74200/19317/22722/68272/19134/56194/68011/229709/67440/108062/224907/27981/66921/76265/18789/72459/54624/70052/15481/56541/68183/69731/94230/18458/231386/83410/381802/19383/28000/53890/76793/208768/12192/219249/66978/230908/24128/66078/72692/170771/67772/21841/74213/74111/101214/67207/56009/15572/103135/101943/66603/76936/53317/110809/53817/13204/19647/66125/22608/219158/19653/78895/68991/218543/67959/68816/20926/70470/109095/108160/69192/68278/74320/70650/319322/19656/27366/20630/108014/56195/227682/71701/238831/20462/17149/68879/11820/104721/66373/20218/78688/664883/225283/100041953/231413/209416/67225/93686/74255/57317/328110/69408/11877/18795/56190/212880/67836/224432/19654/66935/67148/12812/330361/100715/269254/20383/72290/27756/98985/107686/217827/193116/73473/14300/215051/231464/18949/235497/20492/76183/81898/54188/68988/330216/19652/272009/56361/66704/69241/66492/72486/72162/107829/102182/106583/66877/70567/56403/68592/78697/21681/108121/210529/76522/66618/66899/68219/66874/319586/20639/223642/100336/224344/210106/78651/338351/66810/67302/171170/230257/75553/232314/24018/68675/271842/207920/20641/14265/237859/67684/269061/67996/67797/14266/68981/432508/67471/11834/60532/20638/101122/66637/216766/78943/72462/14359/214498/72587/54614/69131/68188/20815/28035/382073/70044/22258",322
"GO:0008380","GO:0008380","RNA splicing","294/8803","449/28891",1.89148009492266e-53,1.53044383180429e-50,5.69435060155663e-51,"18148/53975/27878/51810/50783/13548/51796/67736/67039/22668/70312/27374/217207/20624/68035/19205/70616/192170/216825/23879/233908/70233/15387/76479/11758/67332/67367/192159/234723/227707/53609/17975/12261/16969/13207/72935/225027/12750/107701/13211/234373/83486/110213/76781/76938/103284/231151/75956/320632/20901/225895/14105/12696/67040/27886/22185/269623/230753/59013/229700/15381/276919/276905/20382/192196/28036/66642/72289/16549/22687/56844/229279/19826/56036/83703/231769/22184/20227/76167/75062/209003/66354/107817/72193/65105/101739/170791/71514/225160/69562/78372/53610/108013/56215/233208/217218/54723/66381/20222/116748/18708/74044/432467/223527/20643/56070/66185/15388/19655/98758/70248/74200/19317/22722/68272/19134/56194/15469/20020/68011/56706/27981/100683/66921/76265/72459/102414/56258/70052/15481/56541/68183/69731/18458/231386/381802/19383/28000/53890/76793/208768/66978/56790/67760/230908/66078/72692/170771/21841/101206/109115/74111/101214/67207/56009/15572/75565/101943/66603/76936/53317/110809/53817/13204/66125/22608/219158/19653/70439/218543/67959/68816/20926/109095/108160/69192/68278/70650/319322/19656/18139/27366/20630/108014/56195/238831/20462/17149/68879/104721/66373/20218/78688/664883/100041953/231413/209416/67225/11652/93686/74255/57317/328110/69408/11877/56190/212880/67836/19654/66935/12812/330361/68052/269254/20383/27370/27756/98985/107686/12747/217827/193116/73473/14300/215051/18949/19153/76183/81898/68988/19652/272009/117198/102162/66464/56361/66704/66492/72486/107829/66877/70567/56403/68592/78697/100039795/21681/108121/210529/76522/66618/319586/20639/100336/224344/78651/55934/338351/66810/67302/171170/230257/232314/68675/207920/20641/14265/237859/67684/67996/67797/68045/14266/68981/11834/66587/60532/20638/66637/216766/78943/72462/28088/14359/101985/12748/54614/66395/69131/20815/28035/382073/246103/22258",294
"GO:0051656","GO:0051656","establishment of organelle localization","311/8803","491/28891",9.01367226062714e-52,6.48283339367105e-49,2.4120797815573e-49,"18148/224092/83560/27681/108000/21754/108012/76464/68581/67052/20869/51810/100502766/234857/212733/228421/22350/11777/12560/13429/14158/16590/100041286/77038/22631/76510/22187/11776/12631/22210/50873/26419/67581/108911/19324/230872/18536/16580/15185/19294/18039/14461/14070/71923/338367/13605/56426/27060/101706/67629/67064/83431/59041/103573/72415/53869/52639/381269/67095/56150/110033/17886/15368/18570/67177/11920/19326/16211/68953/60595/18472/20528/66977/18124/228355/13426/17350/75964/75665/27096/16905/72124/27419/67849/26941/58994/76895/67037/22680/52023/19339/103967/211556/53378/16574/17758/12237/24064/14048/56208/68861/76205/210998/16561/67898/28135/54141/353258/103583/59014/68196/94245/18508/64540/231452/13589/26395/381293/211446/76499/59040/109246/13191/77053/213993/14533/78798/12568/216131/66934/225523/214585/109359/73178/78906/16319/21335/18221/11778/67774/77579/66682/56632/320191/60409/18607/20224/240756/17120/68053/15227/11789/52906/52563/70612/24015/18208/15239/20844/13383/59005/17257/20619/56444/108907/244329/81601/56273/15114/105513/18457/56715/69940/214444/50518/12387/17920/11840/17910/17755/15183/20971/26875/245049/16412/107338/319613/18806/102058/384619/18005/66196/332110/217325/16560/19069/76707/72114/233489/234852/17828/11981/70681/76123/381318/93670/72080/19384/75608/20616/15251/16906/12934/17760/17281/225898/83767/229841/12615/64933/208092/270058/100019/66442/12890/225642/74006/14389/75914/66482/16190/17913/15194/12617/50907/19349/386649/13424/14183/56418/11799/11774/16418/57752/72400/67511/26412/73689/54418/18159/234686/226407/14083/101994/66439/16783/66994/68942/54160/66397/214952/16553/71878/104015/70385/26934/68166/12540/214459/114606/207425/69654/116733/117197/230917/93742/97112/20479/217449/380752/11891/21749/50850/192167/20054/19419/26951/53413/20615/66251/67839/69150/12794/17918/93759/69737/20963/66991/19164/16800/105782/320165/319565/72823/24063/226751/11541/20910/232946/17912/18817",311
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","240/8803","343/28891",1.01836312737848e-51,6.5918645235209e-49,2.45264719520207e-49,"233805/56371/83560/19052/108000/17193/75826/76464/67052/21423/68094/231803/30949/18014/12443/12580/52004/20586/12034/68964/12567/108989/29861/75430/208643/27375/108911/12579/74370/107976/66214/12450/56456/208583/104418/216965/67629/234736/72584/229543/28036/53869/69754/56150/11504/11920/21752/76454/227292/68077/227331/68142/79263/66977/12530/69681/107047/77011/15937/114714/235661/116748/52696/76843/68034/12189/21803/13205/270201/24100/67849/15512/107995/329152/219103/68612/12649/67141/22680/16600/12366/19192/18392/239985/69917/93760/109019/218294/12237/18763/246735/13194/270669/20588/12576/19211/59008/18514/71375/67941/12905/381293/208768/12192/22410/12581/26427/269582/70799/12055/28010/17246/231600/26931/19054/68251/53317/218793/17535/12444/16319/327799/19357/66209/12144/59126/17120/11789/20466/81702/52563/234069/50875/77044/13383/330177/15574/52468/17257/225131/68067/11792/11820/12914/13555/228361/23834/214444/72772/56453/52679/83383/15902/72993/18795/105837/56190/229776/19891/108058/20587/12054/20460/52206/72290/225182/70681/66671/22137/12575/12193/14841/238271/382985/22591/27354/16906/72611/229841/330216/13871/269424/209334/19650/20135/66442/74268/22059/12021/723951/12577/319195/67628/12795/68592/12572/13872/17283/83797/11799/72400/19186/12043/83796/66993/67155/67991/235559/30963/14199/216190/15468/19360/70385/56317/224023/67153/20133/12571/11461/18767/116733/235041/12236/26992/20479/19708/14056/12545/74996/19684/26951/70127/18761/66991/13649/214498/12578/237877/18817",240
